name,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood,risk,resilience,risk_to_assets,id
Benin,1733.3093993644,10323474,0.4395,0.6666666667,0.25,0.3302533219,3,0.2,1.5,0.06,0.8,0.05,0.0438648085,1,0.0728554225,0.8,0.2,2033.6052528042,532.1259856049,0.1062553,0.01619615,1.2002149258,0.1991402967,6146.5922722753,1655.7499780399,0.0082331602,0.0189103988,0.6734349004,0.7,0.32,0.32,0.4,1.55065073285751E-005,0.0012724168,0,0,0,0.0029636037,0,0.0052578882,0.5007315772,0.0026327907,BEN
Bolivia,5934.3879777187,10671200,0.68512,0.5333333333,0.45,0.4218342004,3,0.2,1.5,0.06,0.8,0.05,0.0464868948,1,0.230864606,0.8,0.2,7171.7078710731,985.1084043013,0.2258028,0.08907469,1.1875860553,0.2496557786,17089.5610400713,1982.0456004274,0.0203772375,0.0210325636,0.3888542117,0.7,0.48,0.48,0.6,0.0030802213,0.0024947327,0,0,0,0.0027760798,0,0.0101079363,0.4931128803,0.0049843536,BOL
Bosnia and Herzegovina,9387.3500313802,3829307,0.39767,0,0.125,0.3239322324,3,0.2,1.5,0.06,0.8,0.05,0.1367841283,1,0.1324863379,0.8,0.2,10857.6437300451,3506.1752367205,0.07855196,0.03455922,1.0952833681,0.6188665275,33789.737429668,9737.8696419039,0.0177899293,0.0180556229,0.4420310714,0.7,0,0,0,0.0010543252,0.0032990578,0,0,0,0.0033717364,0,0.00982264,0.6295744988,0.0061840836,BIH
Botswana,15246.6087973119,2021144,0.57444,0.6,0.7083333333,0.2811780767,3,0.2,1.5,0.06,0.8,0.05,0.0349525826,1,0.0491444875,0.8,0.2,18517.0063843353,2165.0184492183,0.2164499,0.08854125,1.081842725,0.6726290999,66226.8634061814,6212.7022474339,0.0053240493,0.0056066828,0.641600854,0.7,0.64,0.64,0.8,0.0005405016,0.0008568521,0,0,0,0.0009475499,0,0.0049408207,0.5841212932,0.0028860386,BWA
Brazil,14555.0821953115,200361925,0.85687,0.8666666667,0.5583333333,0.2655750102,3,0.2,1.5,0.06,0.8,0.05,0.0496619791,1,0.2062913809,0.8,0.2,17577.081136113,2467.0864321053,0.1296786,0.0636212,1.2036438995,0.1854244021,66241.7053783098,9062.7678112758,0.0024885736,0.002751989,0.650662885,0.7,0.16,0.16,0.2,0,0.0007959552,0,0,0,0.0008802071,0,0.0030430063,0.6190732657,0.0018838439,BRA
Bulgaria,15695.0177942759,7265115,0.73948,0.6666666667,0.7166666667,0.3230784715,3,0.2,1.5,0.06,0.8,0.05,0.0406646207,1,0.4210410027,0.8,0.2,18361.2089420785,5030.2532030654,0.07025403,0.01463466,1.123811677,0.5047532919,58459.4085193657,9060.2866823613,0.00892518,0.0084756226,0.3857760364,0.7,0.64,0.64,0.8,0.0012535665,0.000752435,0,0,0,0.0006106553,0,0.0033696117,0.6856343575,0.0023103215,BGR
Burkina Faso,1630.4444967272,16934839,0.29859,0.8,0.4166666667,0.4056650919,3,0.2,1.5,0.06,0.8,0.05,0.0112011365,1,0.3350184754,0.8,0.2,1901.0982831839,547.8293509003,0.1070983,0.0373907,1.1259688321,0.4961246716,4767.4318499186,1026.2154033777,0.003594554,0.0023406398,0.6734349004,0.7,0.48,0.48,0.6,0,0.0016146816,0,0,0,0.0010514206,0,0.0033048408,0.7019731926,0.0023199096,BFA
Burundi,746.9601514274,10162532,0.12057,0.6666666667,0.25,0.4629793127,3,0.2,1.5,0.06,0.8,0.05,0.013002055,1,0.0973849797,0.8,0.2,850.0406523244,334.6381478395,0.05161891,0.00542796,1.1264657439,0.4941370245,1838.0307431667,714.7617769184,0.0266943502,0.0272476002,0.4424472127,0.7,0.48,0.48,0.6,0.0022989001,0.0016288051,0,0,0,0.0018012141,0,0.0063838574,0.5907118189,0.00377102,BDI
Cambodia,2943.5246683519,15135169,0.20723,0,0.15,0.4592944497,3,0.2,1.5,0.06,0.8,0.05,0.159795395,1,0.0279325676,0.8,0.2,3348.6272508338,1323.1143384242,0.0120755,0.002184594,1.1502724732,0.3989101072,7288.4780002132,2890.0705746988,0.0908607441,0.0641390552,0.2038532775,0.7,0,0,0,0,0.0378498649,0,0,1.46943044534832E-006,0.0267175517,0,0.0360726857,0.5255353812,0.0189574726,KHM
Cameroon,2739.3439448002,22253959,0.54381,0.6666666667,0.5666666667,0.4197375746,3,0.2,1.5,0.06,0.8,0.05,0.0370217151,1,0.0374860787,0.8,0.2,3206.7445053817,869.7417024741,0.1015309,0.09631175,0.9325424086,1.2698303656,7700.3940190422,1830.0503322065,0.0195170706,0.027547177,0.3,0.6343680961,0.64,0.64,0.8,0.0003765323,0.003526424,0,0,0,0.005490752,0,0.0057341445,0.4665583675,0.0026753131,CMR
