name,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets,id
Abra,51167,92.82897219,203.8914205,0.2719365,173.689487,0.0297,0.0632,0.173530818,0.203457208,234.6025772,0.178191031,0.152421282,0.005,0.005,10.57,0.23,3,0.2,0,0,1.5,0.15,0.147131324,10.57,0.571356501,1.76E-05,58.73921438,104.0254647,2765.808713,0.0657773,3365.62713,0.000378706,0.821781085,0.000311214,abra
Agusan del Norte,141357,82.34842551,234.8163236,0.2767785,192.6164875,0.0571,0.2491,0.147335603,0.226520873,234.6025772,0.218499681,0.147242546,0.03500512,0.028028012,9.41,0.23,3,0.2,0,0,1.5,0.15,0.142903733,9.41,3.677575133,0.000116015,63.6453478,113.7739607,55244.52584,0.56731997,80194.64904,0.002945334,0.688880449,0.002028983,agusan_del_norte
Agusan del Sur,141595,83.3040811,216.0875222,0.3729576,166.5649287,0.0762,0.1392,0.126443868,0.113334137,234.6025772,0.225682175,0.165856667,0.03500512,0.028028012,8.61,0.23,3,0.2,0,0,1.5,0.15,0.161662355,8.61,3.706761818,0.00014643,69.67607617,135.1524264,60959.22644,0.629308729,89106.96954,0.003778159,0.68411289,0.002584687,agusan_del_sur
Aklan,123269,79.44585903,211.6195103,0.2044606,184.5952063,0.0776,0.1285,0.184183473,0.239542153,234.6025772,0.270018648,0.20695814,0.12786367,0.105636533,1,0.23,3,0.2,0,0,1.5,0.15,0.199334486,1,17.78862818,0.000555418,75.7561154,144.1124397,2192786.408,23.97802086,2955746.654,0.129895144,0.741872246,0.096365602,aklan
Albay,267030,76.58221031,224.0085847,0.3391062,174.0153871,0.0815,0.1728,0.201804364,0.213554152,234.6025772,0.238147011,0.151701629,0.010690101,0.008328429,1,0.23,3,0.2,0,0,1.5,0.15,0.145578818,1,1.057939915,4.12E-05,61.21032039,111.759616,282501.6955,1.629546654,435137.8429,0.009364383,0.649223459,0.006079577,albay
Antique,121378,73.00738258,204.4395375,0.235611,173.4726761,0.0234,0.1723,0.243194362,0.351288569,234.6025772,0.279437373,0.181891572,0.075871134,0.061550157,1,0.23,3,0.2,0,0,1.5,0.15,0.173044571,1,8.767648258,0.000314347,65.8294641,103.1064475,1064199.61,12.36285251,1500578.312,0.071266858,0.709192984,0.050541955,antique
Apayao,24614,67.65457837,181.0193101,0.5469357,119.0160912,0.0000,0.0478,0.097028034,0.117817169,234.6025772,0.166754568,0.12598637,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.123541528,6.51,0.353118427,2.15E-05,43.88585376,85.83384103,1335.123958,0.073948446,1820.167043,0.000621332,0.733517269,0.000455757,apayao
Aurora,47135,67.26519313,202.1915723,0.2713254,165.5826185,0.0000,0.0707,0.082440814,0.135151945,234.6025772,0.254441317,0.130239329,0.034198507,0.02774949,1,0.23,3,0.2,0,0,1.5,0.15,0.128091922,1,2.957617004,0.000135271,67.41841332,97.80836669,139407.2775,4.96124395,233848.2336,0.029962348,0.59614424,0.017861881,aurora
Basilan,52418,102.8185675,142.4110818,0.3211191,129.6971692,0.0000,0.0420,0.100884075,0.094044848,234.6025772,0.252842799,0.171087537,0.014584077,0.011606023,1,0.23,3,0.2,0,0,1.5,0.15,0.167635535,1,1.342720403,6.63E-05,100.8835517,94.14812025,70382.71806,1.686617401,88409.11094,0.013004273,0.796102543,0.010352735,basilan
Bataan,159358,109.54219,289.0746783,0.0446542,281.0577986,0.0000,0.1620,0.031398212,0.276026125,234.6025772,0.141498033,0.107909775,0.007384762,0.006347743,1,0.23,3,0.2,0,0,1.5,0.15,0.10723214,1,0.838813605,1.19E-05,63.17237987,97.80923971,133671.6584,0.964780425,153745.4789,0.003432676,0.869434727,0.002984488,bataan
