province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
Sorsogon,160822,81.24648488,163.1614608,0.3129167,137.5288969,0.054706873,0.233040044,0.233040044,0.183620201,234.6025772,0.25551228,0.234490036,0.040036455,0.031234181,1,0.23,3,0.2,0,0,1.5,0.15,0.223560923,1,4.521889569,0.000211347,69.20412261,130.3821771,727219.3242,13.07250077,2102345.718,0.095052757,0.345908533,0.03287956
South Cotabato,333099,74.96092005,246.6148765,0.2576226,202.392938,0.246323069,0.110900647,0.110900647,0.178567512,234.6025772,0.26063055,0.190984365,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.186748307,6.51,0.847290569,2.37E-05,71.83670906,164.6613887,43353.55471,0.224714181,74852.06897,0.001110287,0.579189798,0.000643067
Southern Leyte,93675,75.36102562,220.1996046,0.3404328,170.8918016,0.095540989,0.16420904,0.16420904,0.271323726,234.6025772,0.202182502,0.153070766,0.023869369,0.018380373,1,0.23,3,0.2,0,0,1.5,0.15,0.148043646,1,2.2462985,8.63E-05,54.50031627,103.9860948,210422.012,5.334945772,499751.0452,0.031218266,0.421053671,0.013144566
Sultan Kudarat,183454,66.53105723,167.6261832,0.4037797,126.8060235,0.114638093,0.11708966,0.11708966,0.255254281,234.6025772,0.279118461,0.218043733,0.01065826,0.007960169,7.14,0.23,3,0.2,0,0,1.5,0.15,0.2129376,7.14,1.076040697,6.55E-05,69.72805146,115.8931184,27647.61485,0.567025984,104023.1849,0.004471601,0.265783199,0.001188477
Sulu,127630,106.9819253,151.709506,0.4017729,133.7391762,0.118739522,0.024538188,0.024538188,0.026018455,234.6025772,0.280778306,0.273994126,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.272649462,1,4.808586457,0.000233373,124.4797183,175.2933245,613719.8895,14.43484041,1842318.681,0.107932775,0.333123632,0.035954958
Surigao del Norte,128923,89.81637898,215.7143834,0.3383435,173.117612,0.088849031,0.163543101,0.163543101,0.196582523,234.6025772,0.268755158,0.219903491,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.212710751,1,4.920612154,0.000174751,86.70215323,161.3801811,634380.0808,10.80888401,1393513.753,0.062436652,0.455237761,0.028423521
Surigao del Sur,120055,88.14276443,228.649587,0.2829407,188.8944883,0.131380248,0.181778685,0.181778685,0.25367653,234.6025772,0.251052461,0.220872057,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.212842091,6.800140845,5.180398765,0.000156664,77.17216914,159.4208203,91458.80768,1.424997295,171078.0503,0.00754388,0.534602817,0.004032979
Tarlac,296663,82.28988393,283.9269578,0.1354197,256.6213258,0.160443528,0.117968364,0.117968364,0.266548426,234.6025772,0.187990989,0.152448701,0.005,0.005,10.72,0.23,3,0.2,0,0,1.5,0.15,0.148851876,10.72,0.838423834,1.47E-05,57.45302315,135.0184086,23202.36285,0.084649823,25112.47052,0.000329863,0.923937883,0.000304773
Tawi-tawi,66077,112.3065754,189.7559148,0.2194188,172.7620737,0.071405029,0.019544655,0.019544655,0.061197529,234.6025772,0.126408718,0.142820971,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.142262694,6.800140845,3.035163979,9.15E-05,59.70094168,110.3889227,29492.70241,0.832404649,55002.80199,0.004818214,0.536203636,0.002583544
Zambales,184359,94.39390879,202.153693,0.1206655,189.1508048,0.08363919,0.17292504,0.17292504,0.213778645,234.6025772,0.215890497,0.157979064,0.013158047,0.011114917,1,0.23,3,0.2,0,0,1.5,0.15,0.152515357,1,1.448494474,3.95E-05,72.19811192,105.711639,267042.9927,2.446219548,450982.5896,0.012932641,0.592135925,0.007657882
Zamboanga del Norte,217100,60.66495369,194.5781438,0.4796748,130.3433611,0.198941246,0.166854684,0.166854684,0.18450005,234.6025772,0.264035222,0.208911374,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.201939805,1,3.614306734,0.00021989,56.02450281,140.2029992,784665.992,13.60088434,2952751.99,0.104346583,0.265740568,0.02772912
Zamboanga del Sur,402612,79.30394036,213.1819282,0.2586444,178.5551363,0.16656839,0.197583376,0.197583376,0.189555849,234.6025772,0.288167056,0.23589388,0.03500512,0.028028012,15.31,0.23,3,0.2,0,0,1.5,0.15,0.226572138,15.31,5.233253963,0.00017691,77.61234701,171.3128242,137620.5646,0.714724667,287756.7278,0.004002823,0.478253161,0.001914363
Zamboanga Sibugay,129797,76.4925075,198.9482108,0.3701923,153.6160524,0.168740465,0.185231117,0.185231117,0.161498855,234.6025772,0.319917415,0.253115926,0.008905187,0.006799459,1,0.23,3,0.2,0,0,1.5,0.15,0.243738937,1,1.241772215,5.63E-05,83.89700568,177.0146277,161178.3082,3.479716963,451656.8227,0.02265204,0.35686012,0.00808361
