province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
Camarines Norte,122835,88.82260132,189.4534567,0.2170643,167.6100905,0.128883667,0.187797384,0.187797384,0.185910285,234.6025772,0.297789071,0.225439569,0.070101839,0.057278422,1,0.23,3,0.2,0,0,1.5,0.15,0.216972177,1,9.719687602,0.000343151,92.10015429,147.3991369,1193917.827,21.22497802,2607170.175,0.126633056,0.457936286,0.057989871
Camarines Sur,383327,92.94640543,215.6389348,0.3172596,176.713552,0.12151861,0.179013839,0.179013839,0.229412085,234.6025772,0.243232687,0.201318212,0.061133212,0.04758069,15.36,0.23,3,0.2,0,0,1.5,0.15,0.194110463,15.36,7.772090118,0.000261195,79.59515072,142.2260716,193961.718,1.051804829,403185.1898,0.005952033,0.481073519,0.002863365
Camiguin,18995,96.20523191,219.2762802,0.4104105,168.7666297,0.059916064,0.137980565,0.137980565,0.203250517,234.6025772,0.134164956,0.119222415,0.044850408,0.032248814,1,0.23,3,0.2,0,0,1.5,0.15,0.11593234,1,3.122120554,0.000111687,48.09607118,88.78679683,59304.67992,6.908192636,131221.1191,0.040933404,0.451944628,0.018499632
Capiz,166428,85.33278462,248.3915829,0.2231767,212.0006584,0.082770623,0.12458611,0.12458611,0.306022629,234.6025772,0.296819051,0.236436828,0.058386982,0.047844186,15.94,0.23,3,0.2,0,0,1.5,0.15,0.230545479,15.94,10.66495661,0.000280656,95.42993093,176.4323844,111351.7816,1.089052062,181248.7565,0.005137022,0.614358872,0.003155975
Catanduanes,51389,73.40704792,198.7525646,0.2708495,164.8027941,0.296015585,0.214196896,0.214196896,0.190961914,234.6025772,0.251871542,0.19245709,0.033961544,0.027270472,1,0.23,3,0.2,0,0,1.5,0.15,0.184212347,1,3.860955064,0.000146568,59.85671919,129.6161508,198410.6198,9.065696808,465877.0932,0.055009364,0.425886189,0.023427728
Cavite,782511,98.87756468,310.5756049,0.0255369,305.1694932,0.252791697,0.101019623,0.101019623,0.197102438,234.6025772,0.155324526,0.127510338,0.059087674,0.051108354,1,0.23,3,0.2,0,0,1.5,0.15,0.124934129,1,8.497570193,0.00010614,57.31450347,137.1499729,6649442.15,6.565121336,5137279.661,0.021513033,1.294350821,0.027845412
Cebu,983408,81.29791926,261.9160948,0.188734,227.8273041,0.185622821,0.133617321,0.133617321,0.20434179,234.6025772,0.229680285,0.173800896,0.042888862,0.035652962,1,0.23,3,0.2,0,0,1.5,0.15,0.169156334,1,6.204381722,0.000144002,68.06860908,154.6705592,6101438.62,8.907014568,8759229.382,0.039095466,0.696572536,0.027232828
Compostela Valley,159581,84.01965423,224.1885445,0.3066043,181.21216,0.1425176,0.092187348,0.092187348,0.095956608,234.6025772,0.205400793,0.166857065,0.010353494,0.008220025,1,0.23,3,0.2,0,0,1.5,0.15,0.163780643,1,1.141317367,3.83E-05,66.23190419,144.4495452,182132.5667,2.368843626,378022.4347,0.013072211,0.481803592,0.006298238
Cotabato,293837,68.46911615,215.7907888,0.4483559,149.7382476,0.137833603,0.130330582,0.130330582,0.126347363,234.6025772,0.249399593,0.188155373,0.03500512,0.028028012,8.5,0.23,3,0.2,0,0,1.5,0.15,0.183250893,8.5,3.791413107,0.000190392,63.03687882,150.8157748,131065.5827,1.385455241,407098.0117,0.009252514,0.321950928,0.002978855
Cotabato City,62429,103.1481741,195.4462299,0.3452713,163.5783602,0.079683907,0.14273556,0.14273556,0.169691426,234.6025772,0.181287404,0.151149087,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.146834217,6.800140845,3.256687172,0.000115349,68.9156019,104.1949937,29898.1636,1.049197796,65500.36922,0.006414038,0.45645794,0.002927739
Davao,226916,89.16260085,212.9034883,0.267289,179.8289103,0.281311649,0.100470053,0.100470053,0.150668919,234.6025772,0.232153927,0.187558967,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.183790155,1,4.28851816,0.000139169,76.65136852,145.2139048,973133.3869,8.608079102,1953310.878,0.04786816,0.498196881,0.023847768
Davao del Sur,570933,76.83857947,249.4170039,0.1995817,214.9735086,0.15897896,0.099298513,0.099298513,0.172567396,234.6025772,0.253369958,0.181428246,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.177825135,1,4.898707463,0.000130794,74.0231707,160.4926905,2796833.748,8.090049032,4618875.964,0.037632772,0.605522592,0.022787494
Davao Oriental,120320,78.41508871,178.7028995,0.3775709,140.8371405,0.175751102,0.144737503,0.144737503,0.174072432,234.6025772,0.260595655,0.219040476,0.022774723,0.017294966,1,0.23,3,0.2,0,0,1.5,0.15,0.212699801,1,2.516159019,0.000122026,73.55492999,136.9912953,302744.2532,7.547694892,908138.6495,0.053591651,0.333367877,0.017865735
Eastern Samar,94156,72.19684223,196.9786677,0.5542831,127.8142106,0.14196869,0.167961301,0.167961301,0.27430511,234.6025772,0.237901665,0.188037983,0.071160145,0.045588753,1,0.23,3,0.2,0,0,1.5,0.15,0.181721362,1,6.024229098,0.000382605,61.05184716,114.8871491,567217.3149,23.66532779,2228232.604,0.185154121,0.254559292,0.047132702
Guimaras,37452,92.16500914,248.1769694,0.1694163,221.7460003,0.033529431,0.141886648,0.141886648,0.27664148,234.6025772,0.297998424,0.237875596,0.101838987,0.084081403,1,0.23,3,0.2,0,0,1.5,0.15,0.231125322,1,19.46308738,0.000456825,103.1211398,186.2002087,728931.5484,28.2561061,1058247.686,0.12742555,0.688809962,0.087771988
Ifugao,41494,79.30760642,316.2120923,0.3603031,230.8546716,0.125941832,0.127762998,0.127762998,0.078481069,234.6025772,0.12267893,0.120604314,0.005,0.005,10.64,0.23,3,0.2,0,0,1.5,0.15,0.117522561,10.64,0.59107991,1.29E-05,35.99354801,148.9570418,2305.100543,0.074888087,3107.406272,0.000324395,0.741808551,0.000240639
Ilocos Norte,133798,80.62314334,270.8622999,0.083793,254.9215903,0.170213807,0.221918348,0.221918348,0.325504014,234.6025772,0.140148069,0.119785167,0.005,0.005,48.14,0.23,3,0.2,0,0,1.5,0.15,0.114468661,48.14,0.637430065,1.06E-05,36.96795662,91.14510816,1771.642456,0.013595175,1819.007225,5.33E-05,0.973961198,5.19E-05
Ilocos Sur,152112,75.82216159,255.5100657,0.137304,230.8381977,0.105778536,0.115246646,0.115246646,0.251049416,234.6025772,0.176378914,0.134138473,0.005,0.005,27.75,0.23,3,0.2,0,0,1.5,0.15,0.131046671,27.75,0.667036313,1.38E-05,50.38084699,109.2160853,3656.368566,0.030772366,4680.846112,0.000133307,0.781134111,0.000104131
Iloilo,494012,81.11439258,289.5062043,0.2083429,246.0892499,0.15150043,0.142837509,0.142837509,0.271255353,234.6025772,0.257346197,0.189227296,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.183821544,1,5.775852771,0.000127022,75.76183117,170.3763087,2853340.579,7.856747173,3881327.385,0.031926414,0.735145556,0.023470561
Isabela,357627,87.82874982,211.37736,0.1904398,187.8487874,0.062347809,0.105628737,0.105628737,0.154795449,234.6025772,0.184630576,0.153514744,0.005,0.005,10.29,0.23,3,0.2,0,0,1.5,0.15,0.15027163,10.29,0.625315792,1.73E-05,62.30058633,116.833388,21732.73184,0.104134707,37241.38298,0.000554354,0.583564038,0.000323501
Isabela City,22158,100.9165751,222.5255725,0.1547324,203.7087205,0.11687757,0.119684402,0.119684402,0.077088389,234.6025772,0.211067367,0.159383563,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.155568418,6.800140845,4.055712479,0.000103797,79.90589815,139.2352429,13215.38467,0.944127127,20919.96887,0.004634692,0.631711488,0.002927788
Kalinga,40658,80.65555801,225.6504065,0.2086172,195.4019872,0.215253605,0.123912545,0.123912545,0.11519986,234.6025772,0.165980901,0.142021391,0.005,0.005,7.5,0.23,3,0.2,0,0,1.5,0.15,0.138501744,7.5,0.595775028,1.57E-05,48.82797259,120.3071228,3229.736145,0.129565772,5267.885172,0.000663073,0.613099193,0.000406529
La Union,172794,70.32231853,236.0420856,0.1533975,210.6210876,0.10158728,0.114141594,0.114141594,0.265161743,234.6025772,0.174852864,0.134258498,0.005,0.005,23.79,0.23,3,0.2,0,0,1.5,0.15,0.131193602,23.79,0.610103932,1.46E-05,46.41966532,99.11716658,4431.370271,0.037951546,6557.799359,0.000180189,0.675740447,0.000121761
Laguna,679210,97.44907819,301.5304931,0.0462429,292.0931766,0.271726966,0.088258123,0.088258123,0.185081365,234.6025772,0.140290999,0.122250793,0.005,0.005,8.78,0.23,3,0.2,0,0,1.5,0.15,0.120092868,8.78,0.763803691,1.02E-05,51.27130735,128.448124,59086.91403,0.071785177,48757.21004,0.000245761,1.21186003,0.000297828
Lanao del Norte,201860,66.68210747,275.1951062,0.4143466,188.7984541,0.27145999,0.142710562,0.142710562,0.251975026,234.6025772,0.16838594,0.145768054,0.03500512,0.028028012,8.09,0.23,3,0.2,0,0,1.5,0.15,0.141607526,8.09,3.450837114,0.000119913,39.78473551,127.937067,86104.57104,0.916807732,185066.8089,0.004856013,0.465262094,0.002259319
Lanao del Sur,149982,89.66469527,212.8913517,0.6730544,129.9531084,0.126417326,0.078638578,0.078638578,0.092379997,234.6025772,0.138008935,0.13571934,0.03500512,0.028028012,10.34,0.23,3,0.2,0,0,1.5,0.15,0.133584785,10.34,2.368617082,0.000120311,48.461385,112.5455722,34356.8595,0.719691942,107940.8369,0.005538089,0.318293433,0.001762738
Leyte,408401,75.69821712,242.2981311,0.3140853,189.9715471,0.201879141,0.158571612,0.158571612,0.209550757,234.6025772,0.235886742,0.185826503,0.136057478,0.106848461,1,0.23,3,0.2,0,0,1.5,0.15,0.179933141,1,17.07592681,0.00056477,63.9649819,154.0771181,6973825.585,34.93284511,14266608.88,0.183884617,0.48882153,0.08988676
Maguindanao,161059,84.93135319,136.0201166,0.5451403,108.1695728,0.069001761,0.084046591,0.084046591,0.138951283,234.6025772,0.269522779,0.239063205,0.083918707,0.057274245,7.23,0.23,3,0.2,0,0,1.5,0.15,0.235044716,7.23,8.111504179,0.000559055,90.51510983,120.7950385,180695.8163,4.782759681,770306.4915,0.044215388,0.23457652,0.010371892
Manila,399003,136.9159917,385.4746799,0.0359479,376.539517,0.195029377,0.127707757,0.127707757,0.148081425,234.6025772,0.136136094,0.119562229,0.03500512,0.028028012,13.13,0.23,3,0.2,0,0,1.5,0.15,0.116508425,13.13,5.374162223,4.93E-05,68.24329704,167.1606773,163313.5453,0.232413639,92733.73931,0.000617236,1.761101693,0.001087015
