name,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
Batanes,4454,101.8004530864,175.8988186059,0.1818182,162.4263871642,0.3334248079,0.0199358665,0.0199358665,0.1239624516,234.6025772289,0.1,0.2167261251,0.005,0.005,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.2158620005,6.8001408451,0.7129075315,2.21873847257026E-005,40.4955016227,144.7242034032,466.9447615053,0.116261573,517.8290460691,0.0007157801,0.9017353604,0.0006454442
Batangas,546431,86.028984544,276.5634392311,0.1474136,248.4760693417,0.1012385164,0.10102973,0.10102973,0.2526889309,234.6025772289,0.1793224169,0.1171150296,0.0057877453,0.005,7.73,0.23,3,0.2,0,0,1.5,0.15,0.1147486097,7.73,0.6442649159,1.27987115661199E-005,59.1013802653,103.2878887324,45542.8618689625,0.1116289228,60997.5039263404,0.0004492542,0.7466348447,0.0003354289
Benguet,182831,92.4291618824,341.0451674638,0.0280084,334.0818309331,0.200348883,0.1147013649,0.1147013649,0.1885254434,234.6025772289,0.1350126928,0.1022823702,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.0999359847,1,0.7274695192,7.8881314904411E-006,46.1319831842,120.3885159071,133003.979658247,0.8291183695,151588.540607843,0.0024817823,0.8774012806,0.002177519
Biliran,35756,82.6980986877,205.5642049632,0.2088654,179.9017265296,0.1747737557,0.2088779564,0.2088779564,0.2736680812,234.6025772289,0.3147763792,0.1578372455,0.089746621,0.0736111032,1,0.23,3,0.2,0,0,1.5,0.15,0.1512435012,1,9.9194878314,0.0003453943,87.4288241265,100.9050190381,354681.206901024,14.3460134581,512956.057208043,0.0797436119,0.6914455964,0.0551383693
Bohol,272951,78.2229649272,224.8920750148,0.3057509,180.0478626033,0.1550059104,0.1380023751,0.1380023751,0.3277312196,234.6025772289,0.2147528608,0.1536473065,0.0442099721,0.0350819751,1,0.23,3,0.2,0,0,1.5,0.15,0.1494065679,1,4.5147350177,0.000158549,61.3163187524,99.8903784666,1232301.43781671,6.5933849068,1799671.00370319,0.0366201787,0.6847370632,0.0250751936
Bukidnon,291073,78.0642323037,209.4738946821,0.4148774,154.9549956197,0.2130430443,0.0874827961,0.0874827961,0.0970834929,234.6025772289,0.1694058463,0.1261894277,0.005,0.005,9.82,0.23,3,0.2,0,0,1.5,0.15,0.1239815469,9.82,0.4445423038,1.80254799551083E-005,50.2507258675,102.009386013,13176.6050922021,0.0609462278,17739.8013651613,0.0003933157,0.7427707234,0.0002921434
Bulacan,710908,101.5324967588,293.5047080328,0.0535976,283.2154582418,0.1594384703,0.1513272373,0.1513272373,0.1844508737,234.6025772289,0.2023095294,0.1165961906,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.1130673547,6.51,0.7059339741,1.02211600536695E-005,73.4147023232,117.8054639174,77089.7249874675,0.1288124308,91573.7875583648,0.0004548213,0.8418317844,0.0003828831
Cagayan,265428,84.3379001665,213.9661082192,0.1515935,194.3153144618,0.0791550284,0.0920998006,0.0920998006,0.1650519049,234.6025772289,0.2040050203,0.1308222798,0.0249566434,0.0209024067,9.34,0.23,3,0.2,0,0,1.5,0.15,0.1284125386,9.34,2.3970125758,6.79553675111411E-005,66.9493305776,100.1555122757,68119.29913997,0.3392349122,90042.4442693114,0.0017457961,0.7565243224,0.0013207372
Camarines Norte,122835,88.8226013202,189.453456661,0.2170643,167.610090488,0.1288836668,0.1877973841,0.1877973841,0.1859102848,234.6025772289,0.297789071,0.1667897101,0.0701018392,0.0572784223,1,0.23,3,0.2,0,0,1.5,0.15,0.1605251759,1,7.6345596259,0.0002809902,91.8131717467,109.0521038056,937791.131646201,10.4955328362,1289218.77593363,0.0626187409,0.7274103893,0.0455495227
Camarines Sur,383327,92.9464054303,215.6389347759,0.3172596,176.7135519927,0.1215186101,0.1790138386,0.1790138386,0.2294120851,234.6025772289,0.243232687,0.1638134139,0.0611332123,0.0475806905,15.36,0.23,3,0.2,0,0,1.5,0.15,0.1579484403,15.36,6.6707070446,0.0002332342,79.4352238991,115.7299088549,166475.39839117,0.6140006516,235363.027762729,0.0034745533,0.7073132937,0.0024575977
Camiguin,18995,96.2052319138,219.2762802036,0.4104105,168.7666297395,0.0599160639,0.1379805653,0.1379805653,0.2032505166,234.6025772289,0.1341649564,0.1238949906,0.0448504083,0.0322488139,1,0.23,3,0.2,0,0,1.5,0.15,0.1204759705,1,3.2044832083,0.0001137203,48.1078325607,92.2665369885,60869.1585416235,4.2917161353,81521.14798965,0.0254298859,0.7466670924,0.018987659
Capiz,166428,85.3327846162,248.3915829369,0.2231767,212.0006584217,0.082770623,0.1245861095,0.1245861095,0.3060226285,234.6025772289,0.2968190507,0.198294079,0.0583869824,0.047844186,15.94,0.23,3,0.2,0,0,1.5,0.15,0.1933531414,15.94,9.1721143441,0.0002521016,95.3295555506,147.9697453669,95765.1597273116,0.8403421803,139856.468390307,0.0039638659,0.6847388671,0.002714213
Catanduanes,51389,73.4070479201,198.7525645966,0.2708495,164.8027940775,0.2960155854,0.2141968962,0.2141968962,0.1909619135,234.6025772289,0.2518715425,0.1607109498,0.0339615436,0.0272704717,1,0.23,3,0.2,0,0,1.5,0.15,0.1538261925,1,3.3388348812,0.000131541,59.7861709385,108.235735757,171579.385707542,4.7903909575,246173.400916023,0.0290674135,0.696985885,0.0202595769
Cavite,782511,98.87756468,310.5756049173,0.0255369,305.1694932336,0.2527916971,0.1010196233,0.1010196233,0.1971024381,234.6025772289,0.1553245258,0.1087982228,0.0590876739,0.0511083539,1,0.23,3,0.2,0,0,1.5,0.15,0.1066000717,1,7.2645920697,9.08426221459813E-005,57.2674565555,117.0232433798,5684623.20504064,8.3361292195,6523112.81165649,0.0273163911,0.8714586685,0.0238051058
Cebu,983408,81.2979192578,261.9160948351,0.188734,227.8273040857,0.1856228206,0.133617321,0.133617321,0.2043417901,234.6025772289,0.2296802853,0.1531958897,0.0428888625,0.0356529615,1,0.23,3,0.2,0,0,1.5,0.15,0.1491019649,1,5.5438369814,0.0001324913,68.0279864596,136.3335546025,5451853.63821151,7.842581113,7712457.00715822,0.0344233592,0.7068893393,0.0243335056
Compostela Valley,159581,84.0196542266,224.188544504,0.3066043,181.2121600187,0.1425176001,0.0921873481,0.0921873481,0.0959566084,234.6025772289,0.205400793,0.1488838983,0.0103534937,0.0082200245,1,0.23,3,0.2,0,0,1.5,0.15,0.146138856,1,1.0433046554,3.60568732011846E-005,66.2257530711,128.8900260234,166491.600214331,1.5140219545,241609.137525991,0.0083549689,0.6890947996,0.0057573656
Cotabato,293837,68.4691161495,215.7907887522,0.4483559,149.7382476429,0.1378336027,0.1303305821,0.1303305821,0.1263473635,234.6025772289,0.2493995932,0.1511983787,0.0350051203,0.0280280121,8.5,0.23,3,0.2,0,0,1.5,0.15,0.1472572242,8.5,3.2692785287,0.0001761706,62.98799435,121.1929285428,113015.88176795,0.653697209,192080.426808842,0.0043655994,0.5883779188,0.0025686223
Cotabato City,62429,103.1481740663,195.4462298772,0.3452713,163.5783601599,0.0796839066,0.1427355598,0.1427355598,0.1696914257,234.6025772289,0.1812874043,0.1408095611,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1367898548,6.8001408451,3.1000569697,0.0001109116,68.8930947801,97.0674160852,28460.2129530253,0.587368713,36668.8413848003,0.0035907483,0.7761415926,0.0027869291
Davao,226916,89.1626008541,212.9034883378,0.267289,179.8289102632,0.2813116489,0.1004700529,0.1004700529,0.1506689186,234.6025772289,0.2321539273,0.1639916037,0.0350051203,0.0280280121,1,0.23,3,0.2,0,0,1.5,0.15,0.1606963547,1,3.8495072036,0.0001284395,76.6198824437,126.9673292693,873514.776615902,5.331518706,1209806.89868731,0.0296477285,0.7220282655,0.021406498
Davao del Sur,570933,76.8385794748,249.4170039038,0.1995817,214.973508573,0.1589789599,0.0992985132,0.0992985132,0.1725673957,234.6025772289,0.2533699582,0.1331446328,0.0350051203,0.0280280121,1,0.23,3,0.2,0,0,1.5,0.15,0.1305004199,1,3.7473888215,0.0001093229,73.9682148608,117.7806697322,2139507.94201057,5.9313264442,3386390.00074088,0.0275909645,0.6317960842,0.0174318633
Davao Oriental,120320,78.4150887099,178.7028994659,0.3775709,140.8371404997,0.1757511016,0.1447375029,0.1447375029,0.1740724323,234.6025772289,0.2605956548,0.171221792,0.0227747231,0.0172949665,1,0.23,3,0.2,0,0,1.5,0.15,0.166265349,1,2.1277818386,0.0001085541,73.5027449195,107.0847522002,256014.710823739,3.1230944151,375770.720025027,0.0221752189,0.6813056398,0.0151081017
Eastern Samar,94156,72.1968422273,196.9786676675,0.5542831,127.8142106388,0.1419686897,0.1679613008,0.1679613008,0.2743051097,234.6025772289,0.2379016651,0.154239045,0.0711601451,0.0455887532,1,0.23,3,0.2,0,0,1.5,0.15,0.1490578068,1,5.455806121,0.000361461,60.9293009495,94.236727669,513696.881124858,8.9906948789,846527.867020551,0.0703419036,0.6068280811,0.0426854424
Guimaras,37452,92.1650091411,248.176969396,0.1694163,221.7460003338,0.0335294307,0.1418866483,0.1418866483,0.2766414798,234.6025772289,0.297998424,0.1765695824,0.1018389872,0.0840814027,1,0.23,3,0.2,0,0,1.5,0.15,0.1715590092,1,14.9744170335,0.0003715001,102.7762386982,138.2121311403,560821.866737475,21.1157110246,790825.609294989,0.0952247661,0.7091599717,0.0675295925
Ifugao,41494,79.3076064214,316.2120922619,0.3603031,230.8546716097,0.1259418324,0.1277629976,0.1277629976,0.0784810689,234.6025772289,0.1226789298,0.115990431,0.005,0.005,10.64,0.23,3,0.2,0,0,1.5,0.15,0.113026574,10.64,0.5713093071,1.26077057471807E-005,35.9925576668,143.25848585,2227.9989085593,0.0715427399,2968.5944513441,0.0003099038,0.7505231668,0.00023259
Ilocos Norte,133798,80.6231433414,270.8622999258,0.083793,254.9215902781,0.1702138073,0.2219183482,0.2219183482,0.325504014,234.6025772289,0.1401480689,0.1192585674,0.005,0.005,48.14,0.23,3,0.2,0,0,1.5,0.15,0.1139654345,48.14,0.6347152008,1.05395769947059E-005,36.9677608865,90.7444162855,1764.0968932424,0.0153387555,2052.294803685,6.01704839833671E-005,0.8595728499,5.17209143975595E-005
Ilocos Sur,152112,75.8221615915,255.5100656953,0.137304,230.8381977103,0.1057785364,0.1152466462,0.1152466462,0.2510494156,234.6025772289,0.1763789141,0.1137810816,0.005,0.005,27.75,0.23,3,0.2,0,0,1.5,0.15,0.111158504,27.75,0.5717341586,1.21947210534046E-005,50.3770689929,92.6410154284,3133.9685164317,0.0265297708,4035.4964942468,0.000114928,0.7766004805,8.92531346468634E-005
Iloilo,494012,81.1143925809,289.5062042712,0.2083429,246.0892498874,0.1515004296,0.1428375089,0.1428375089,0.271255353,234.6025772289,0.2573461972,0.1715239281,0.0350051203,0.0280280121,1,0.23,3,0.2,0,0,1.5,0.15,0.166623918,1,5.295535771,0.0001197404,75.7315053534,154.436566089,2616058.21728586,7.9568768771,3930792.65981554,0.0323332973,0.6655294348,0.0215187611
Isabela,357627,87.8287498165,211.3773600153,0.1904398,187.8487873988,0.062347809,0.1056287367,0.1056287367,0.1547954491,234.6025772289,0.1846305759,0.1342646993,0.005,0.005,10.29,0.23,3,0.2,0,0,1.5,0.15,0.1314282572,10.29,0.55521734,1.56852780366368E-005,62.296786019,102.1830173338,19296.4734345072,0.0675542316,24159.217192281,0.0003596203,0.7987209718,0.0002872363
Isabela City,22158,100.9165750948,222.5255725346,0.1547324,203.7087204991,0.1168775695,0.1196844024,0.1196844024,0.0770883888,234.6025772289,0.2110673666,0.1565833734,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1528352559,6.8001408451,3.9930649493,0.0001023919,79.9008739226,136.7890365565,13011.2500848221,0.7535725291,16697.6600992785,0.0036992649,0.7792259519,0.0028825632
Kalinga,40658,80.6555580052,225.650406452,0.2086172,195.4019871546,0.2152536052,0.1239125447,0.1239125447,0.1151998599,234.6025772289,0.1659809007,0.1278188712,0.005,0.005,7.5,0.23,3,0.2,0,0,1.5,0.15,0.1246511989,7.5,0.5420060517,1.45526001189555E-005,48.8249633337,108.2760883323,2938.2509398208,0.0912296299,3709.2142938507,0.0004668818,0.7921491472,0.00036984
La Union,172794,70.3223185317,236.0420855914,0.1533975,210.6210876239,0.1015872799,0.1141415941,0.1141415941,0.2651617427,234.6025772289,0.1748528635,0.1214316964,0.005,0.005,23.79,0.23,3,0.2,0,0,1.5,0.15,0.1186596149,23.79,0.5556536152,1.35567294829997E-005,46.4174782198,89.6477009545,4035.8810751804,0.0299830878,5180.8976745602,0.0001423556,0.7789926242,0.0001108939
Laguna,679210,97.4490781941,301.5304930912,0.0462429,292.0931766303,0.2717269655,0.0882581231,0.0882581231,0.1850813653,234.6025772289,0.1402909994,0.1126585942,0.005,0.005,8.78,0.23,3,0.2,0,0,1.5,0.15,0.110669987,8.78,0.7048928925,9.42427389460931E-006,51.2695455387,118.3696618318,54529.6470938863,0.0922356102,62647.3488263783,0.0003157746,0.8704222623,0.0002748573
Lanao del Norte,201860,66.6821074725,275.1951062257,0.4143466,188.7984541365,0.2714599898,0.142710562,0.142710562,0.2519750261,234.6025772289,0.1683859397,0.1218744713,0.0350051203,0.0280280121,8.09,0.23,3,0.2,0,0,1.5,0.15,0.1183959165,8.09,2.9949565374,0.0001115804,39.7511173136,106.9662520558,74729.5335764702,0.6158858477,124322.717211508,0.003262134,0.601093149,0.0019608464
Lanao del Sur,149982,89.6646952727,212.8913517008,0.6730544,129.9531083946,0.126417326,0.078638578,0.078638578,0.092379997,234.6025772289,0.1380089355,0.1302573619,0.0350051203,0.0280280121,10.34,0.23,3,0.2,0,0,1.5,0.15,0.1282087112,10.34,2.3230172578,0.0001189976,48.4556156646,108.016214577,33695.4327232714,0.2934678997,44014.9025304358,0.0022582599,0.7655460034,0.0017288019
Leyte,408401,75.6982171151,242.2981310508,0.3140853,189.9715471023,0.201879141,0.1585716115,0.1585716115,0.2095507574,234.6025772289,0.2358867416,0.1530154072,0.1360574775,0.1068484607,1,0.23,3,0.2,0,0,1.5,0.15,0.1481626273,1,14.6229985351,0.0005122188,63.7393866756,126.871961772,5972047.22472124,23.0861457891,9428405.02641191,0.121524229,0.633410127,0.0769746773
Maguindanao,161059,84.9313531891,136.0201165864,0.5451403,108.1695727813,0.0690017609,0.0840465909,0.0840465909,0.1389512829,234.6025772289,0.269522779,0.2202623568,0.0839187074,0.0572742448,7.23,0.23,3,0.2,0,0,1.5,0.15,0.2165598968,7.23,7.8267124718,0.0005433586,90.4669667029,111.2952529235,174351.657537711,1.4553553798,234398.08211613,0.0134543878,0.7438271506,0.0100077389
Manila,399003,136.9159917033,385.4746798627,0.0359479,376.5395169966,0.1950293766,0.1277077575,0.1277077575,0.1480814253,234.6025772289,0.1361360943,0.1122705766,0.0350051203,0.0280280121,13.13,0.23,3,0.2,0,0,1.5,0.15,0.1094030119,13.13,5.0523888313,4.64177615915329E-005,68.2243882169,156.9661733547,153535.285670758,0.44462968,177408.576228925,0.0011808314,0.865433278,0.0010219308
Marinduque,53412,79.7805696461,206.299327055,0.2385761,176.1149753355,0.1317219504,0.1542804148,0.1542804148,0.2372300205,234.6025772289,0.2089068508,0.1443298335,0.0507989316,0.04092244,1,0.23,3,0.2,0,0,1.5,0.15,0.1398763802,1,4.7644146409,0.0001631784,60.0499425988,96.9171168334,254476.914801377,6.5647792407,350637.988802196,0.0372755311,0.7257539768,0.0270528649
Masbate,179704,83.8898966572,165.6154935487,0.405685,132.4606447738,0.1527996255,0.1771482496,0.1771482496,0.1426176258,234.6025772289,0.3064551527,0.1931985019,0.0425295093,0.0311332973,1,0.23,3,0.2,0,0,1.5,0.15,0.1863535466,1,4.352463577,0.0002381961,89.6764547553,115.6454721357,782155.114634813,6.2506926309,1123274.46853486,0.0471890548,0.6963170058,0.0328585414
Misamis Occidental,131488,74.9765282063,171.922447573,0.3377107,139.1827732815,0.0968386482,0.1229599237,0.1229599237,0.1807881066,234.6025772289,0.2803603198,0.1783505391,0.061471479,0.0474575696,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1739645454,6.8001408451,5.9476712745,0.0003135975,79.0317395811,107.6431854375,115004.588635083,1.3034550159,171388.693134305,0.00936506,0.6710161944,0.0062841069
Misamis Oriental,332788,79.7020475493,279.3890594188,0.1908518,241.2784337669,0.1590604401,0.1395250128,0.1395250128,0.1599408089,234.6025772289,0.2110174295,0.1541320212,0.089146712,0.0739592345,1,0.23,3,0.2,0,0,1.5,0.15,0.1498309667,1,12.0964393564,0.0002646192,61.5655208995,155.0478649135,4025549.86053217,17.0711307669,5681067.46565301,0.0707528249,0.7085903987,0.0501347724
Mountain Province,34301,103.5790750052,199.7892739743,0.2794769,172.900745818,0.1096544469,0.1046698878,0.1046698878,0.1496655984,234.6025772289,0.1278322554,0.1053289633,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.1031240092,1,0.401398185,1.22064216738771E-005,50.4367055267,76.2387732162,13768.3591451611,0.4776906937,16385.2684830319,0.002762803,0.8402888948,0.0023215527
NCR-2nd Dist.,1049727,100.6308961177,411.9876380185,0.0188449,406.1201513531,0.2817898043,0.1232764655,0.1232764655,0.1315159315,234.6025772289,0.2110858356,0.1124040119,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.109632658,6.8001408451,5.4578944463,4.5642934582979E-005,76.6138860196,171.2764037322,842526.543777957,0.9455849922,992606.097091971,0.002328338,0.8488025071,0.0019762992
NCR-3rd Dist.,661591,104.8246799518,309.8285323266,0.0276092,304.1685399656,0.1960673066,0.1515037071,0.1515037071,0.1626234296,234.6025772289,0.1891273404,0.1132056892,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1097754729,6.8001408451,4.1102895076,5.26043050195213E-005,70.5348390435,124.5022610253,399893.268032264,0.7063792424,467334.149327453,0.0023223284,0.8556902349,0.0019871937
NCR-4th Dist.,806828,123.2264576187,415.7507970256,0.0299173,406.9992586063,0.2333542015,0.0981544442,0.0981544442,0.1526721402,234.6025772289,0.146760295,0.1081880438,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1060642163,6.8001408451,5.2913517861,4.35455899117088E-005,67.7972800224,163.2726126396,627812.110975156,0.9050651087,730231.871489192,0.0022237512,0.8597435082,0.0019118557
Negros Occidental,661738,74.8561867788,206.7181102972,0.2490811,173.8737973391,0.1939156229,0.1282870149,0.1282870149,0.2358583222,234.6025772289,0.2656628809,0.1718729876,0.0541393217,0.043703467,14.13,0.23,3,0.2,0,0,1.5,0.15,0.1674631731,14.13,6.0601960217,0.0002246315,72.8264162941,116.5636430193,283811.889242824,0.6273974408,415172.727651851,0.0036083496,0.6835995487,0.0024666661
Negros Oriental,298807,63.8009841681,254.919626509,0.4394718,170.9283727459,0.1583736342,0.1594269982,0.1594269982,0.2518601878,234.6025772289,0.2772401898,0.1790029255,0.0226013445,0.0166980675,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1732953457,6.8001408451,2.5374137042,0.0001244391,62.7700572304,144.5039108092,111497.246011586,0.7039201864,210336.279126774,0.0041182173,0.5300904175,0.0021830275
Northern Samar,118770,80.7198540542,212.9239689898,0.434986,155.4170298504,0.1717555546,0.1228840196,0.1228840196,0.1688928333,234.6025772289,0.3057536341,0.2041582845,0.0816000164,0.0602318523,1,0.23,3,0.2,0,0,1.5,0.15,0.1991407264,1,9.9519433627,0.0004831891,91.5875263192,155.0948275138,1181992.31319104,16.1149210006,1913969.16723672,0.1036882574,0.6175607912,0.0640338023
Nueva Ecija,464189,92.8244137307,235.1840301833,0.1964032,207.2241459612,0.1027127159,0.1072849882,0.1072849882,0.2002331656,234.6025772289,0.1954068313,0.1261514767,0.005,0.005,9.92,0.23,3,0.2,0,0,1.5,0.15,0.1234446448,9.92,0.5830320107,1.46587688063526E-005,68.9828003188,101.0785391179,27281.9602842649,0.0758768835,35221.2146570229,0.0003661585,0.7745888536,0.0002836223
Nueva Vizcaya,101443,77.1657822449,246.2056413066,0.150795,220.7152757594,0.1201680867,0.1114913849,0.1114913849,0.1843075524,234.6025772289,0.1698078055,0.1110893135,0.005,0.005,14.25,0.23,3,0.2,0,0,1.5,0.15,0.1086122132,14.25,0.5355863283,1.22407120553003E-005,49.4230583111,94.9435881034,3812.7357120769,0.0484845655,4918.4197786065,0.0002196702,0.7751952626,0.0001702873
Occidental Mindoro,104345,72.3407003862,229.9078975503,0.2977628,182.9902477346,0.1441555783,0.1536113159,0.1536113159,0.1460528263,234.6025772289,0.2867058256,0.1888625043,0.0422880979,0.0333778892,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1830602207,6.8001408451,5.3918101565,0.0002015413,74.4975297781,157.1532082734,82734.8202931541,1.2628483608,131771.912203226,0.0069011785,0.6278638513,0.0043330005
Oriental Mindoro,182397,78.7653092534,207.5621342533,0.2153085,179.8310830578,0.1256593886,0.1773781134,0.1773781134,0.2366695103,234.6025772289,0.3073742106,0.1558368559,0.0646978489,0.0527572771,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1503084464,6.8001408451,7.0449138011,0.0002544671,85.0059277399,105.2356058084,188962.430611822,1.5533668925,283329.461086745,0.0086379221,0.6669353405,0.0057609355
Palawan,233128,74.5974588938,215.4647030658,0.2047371,186.6239520091,0.1584914616,0.1401432745,0.1401432745,0.1812093802,234.6025772289,0.3472501571,0.2494503716,0.0816557857,0.0671883569,1,0.23,3,0.2,0,0,1.5,0.15,0.2424586133,1,13.959615612,0.000459279,94.6723854836,188.7422185775,3254377.2683931,20.1553686959,4698780.79332694,0.1079999029,0.6926003599,0.0748007716
Pampanga,523257,112.6682517291,312.3801058342,0.0544347,301.5088509695,0.2223176642,0.1319795186,0.1319795186,0.2718947776,234.6025772289,0.2036548116,0.1151223589,0.005,0.005,8.49,0.23,3,0.2,0,0,1.5,0.15,0.1120836002,8.49,0.7456581149,9.75286321414082E-006,82.7819699852,111.0457348205,45956.5168694474,0.1035231858,54169.2316112552,0.0003433504,0.8483878302,0.0002912943
Pangasinan,646070,90.2366369123,201.3999616118,0.1487597,184.8633387785,0.0890790438,0.1265497558,0.1265497558,0.2567798026,234.6025772289,0.1944729422,0.1370665374,0.0088134563,0.0073697703,17.58,0.23,3,0.2,0,0,1.5,0.15,0.1335973901,17.58,0.8321493089,2.40665625159675E-005,65.5138419564,87.1668660909,30581.7237754797,0.0592290116,38266.0874967922,0.0003203935,0.799186062,0.000256054
Quezon,463303,83.9695288399,176.9196323626,0.2031569,158.0361774763,0.2132786534,0.1051007767,0.1051007767,0.2059395565,234.6025772289,0.2547501673,0.1602809206,0.029992736,0.0245935914,17.61,0.23,3,0.2,0,0,1.5,0.15,0.1569117908,17.61,2.9078975442,0.0001133217,79.8608203569,96.4536389819,76504.1258336996,0.2200652656,101956.897739992,0.0013924993,0.7503575288,0.0010448723
