name,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
Abra,51167,92.8289721863,203.891420503,0.2719365,173.6894870264,0.0631626983,0.1735308176,0.1735308176,0.2034572079,234.6025772289,0.1781910306,0.1524212815,0.005,0.005,10.57,0.23,3,0.2,0,0,1.5,0.15,0.1471313236,10.57,0.5713565012,1.76452416174033E-005,58.7392143763,104.0254647422,2765.8087129528,0.0657773004,3365.6271299568,0.0003787063,0.8217810845,0.0003112137
Agusan del Norte,141357,82.348425508,234.8163236267,0.2767785,192.6164874872,0.2491000861,0.1473356033,0.1473356033,0.2265208726,234.6025772289,0.2184996805,0.1472425464,0.0350051203,0.0280280121,9.41,0.23,3,0.2,0,0,1.5,0.15,0.1429037325,9.41,3.6775751334,0.0001160151,63.6453477986,113.7739606809,55244.5258376399,0.5673199703,80194.6490400068,0.0029453344,0.688880449,0.0020289833
Agusan del Sur,141595,83.3040811036,216.0875222445,0.3729576,166.5649287168,0.1391886108,0.1264438678,0.1264438678,0.1133341369,234.6025772289,0.2256821754,0.1658566666,0.0350051203,0.0280280121,8.61,0.23,3,0.2,0,0,1.5,0.15,0.1616623549,8.61,3.7067618184,0.0001464295,69.6760761656,135.1524263863,60959.2264436439,0.6293087294,89106.9695448374,0.0037781587,0.6841128899,0.002584687
Aklan,123269,79.4458590303,211.6195103452,0.2044606,184.5952062932,0.1285168001,0.184183473,0.184183473,0.239542153,234.6025772289,0.2700186478,0.20695814,0.12786367,0.105636533,1,0.23,3,0.2,0,0,1.5,0.15,0.1993344862,1,17.7886281842,0.0005554175,75.7561153978,144.1124396637,2192786.40763708,23.9780208612,2955746.65354451,0.1298951438,0.7418722457,0.096365602
Albay,267030,76.5822103124,224.0085847471,0.3391062,174.0153871328,0.1727750768,0.2018043641,0.2018043641,0.2135541523,234.6025772289,0.2381470111,0.1517016285,0.010690101,0.0083284288,1,0.23,3,0.2,0,0,1.5,0.15,0.1455788184,1,1.057939915,4.12403371721215E-005,61.2103203864,111.7596160172,282501.695506689,1.6295466535,435137.842889939,0.0093643825,0.649223459,0.0060795768
Antique,121378,73.0073825792,204.4395375189,0.235611,173.4726760614,0.1722569519,0.2431943618,0.2431943618,0.3512885692,234.6025772289,0.2794373732,0.1818915715,0.0758711339,0.0615501567,1,0.23,3,0.2,0,0,1.5,0.15,0.1730445705,1,8.7676482582,0.0003143467,65.8294640953,103.1064475158,1064199.61028836,12.3628525083,1500578.31174707,0.0712668576,0.7091929838,0.0505419554
Apayao,24614,67.6545783687,181.0193100789,0.5469357,119.0160911857,0.0477941176,0.097028034,0.097028034,0.1178171686,234.6025772289,0.1667545684,0.1259863702,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.1235415282,6.51,0.3531184272,2.15396383915767E-005,43.8858537582,85.8338410317,1335.1239580883,0.0739484457,1820.1670429987,0.0006213315,0.7335172688,0.0004557574
Aurora,47135,67.2651931347,202.1915723228,0.2713254,165.5826185191,0.0707214814,0.0824408143,0.0824408143,0.1351519451,234.6025772289,0.2544413168,0.1302393292,0.0341985068,0.0277494898,1,0.23,3,0.2,0,0,1.5,0.15,0.1280919219,1,2.9576170041,0.0001352712,67.4184133185,97.8083666911,139407.277487373,4.9612439496,233848.233562139,0.0299623475,0.5961442401,0.0178618809
Basilan,52418,102.8185674905,142.4110818041,0.3211191,129.697169241,0.0420120837,0.1008840754,0.1008840754,0.0940448479,234.6025772289,0.2528427994,0.1710875369,0.0145840769,0.0116060229,1,0.23,3,0.2,0,0,1.5,0.15,0.1676355353,1,1.3427204025,6.63372882847568E-005,100.8835517434,94.1481202476,70382.7180563067,1.6866174012,88409.1109367114,0.013004273,0.7961025432,0.0103527348
Bataan,159358,109.5421899944,289.0746782688,0.0446542,281.0577986309,0.1619920915,0.0313982119,0.0313982119,0.276026125,234.6025772289,0.1414980326,0.1079097752,0.0073847618,0.006347743,1,0.23,3,0.2,0,0,1.5,0.15,0.1072321404,1,0.8388136047,1.18952052761134E-005,63.1723798651,97.8092397059,133671.658424832,0.9647804248,153745.4789315,0.0034326762,0.8694347265,0.0029844879
